       0.000            0.42621005E-01            0.37306758E-01            0.44218875-320            0.68287729E-03            0.45481859E-04           -0.39671434E-04            0.15079812E-01            0.57106700E-03            0.16623200E-01           -0.31020134E-01            0.42621005E-01           -0.22725434E-01           -0.23955227E-01           -0.30886479E-01           -0.42621005E-01           -0.27014088E-01            0.22725434E-01            0.19127472E-01
       0.000            0.42621059E-01            0.37306763E-01            0.00000000E+00            0.68287729E-03            0.45481859E-04           -0.39671434E-04            0.15079812E-01            0.57106700E-03            0.16623200E-01           -0.31020134E-01            0.42621059E-01           -0.22725419E-01           -0.23955227E-01           -0.30886479E-01           -0.42621059E-01           -0.27013942E-01            0.22725419E-01            0.19127512E-01
       0.020            0.43587339E-01            0.37051570E-01            0.00000000E+00            0.67073454E-03            0.43624279E-04           -0.39307585E-04            0.14726135E-01            0.55584745E-03            0.16232866E-01           -0.30288272E-01            0.43587339E-01           -0.21986418E-01           -0.23339412E-01           -0.30340324E-01           -0.43587339E-01           -0.26242336E-01            0.21986418E-01            0.18779970E-01
       0.040            0.43972503E-01            0.36800938E-01            0.21674864-313            0.62951942E-03            0.44934101E-04           -0.41079959E-04            0.14308920E-01            0.53665696E-03            0.15771553E-01           -0.29449444E-01            0.43972503E-01           -0.21210540E-01           -0.22788623E-01           -0.29562906E-01           -0.43972503E-01           -0.25950370E-01            0.21210540E-01            0.18170867E-01
       0.060            0.44360952E-01            0.36529859E-01            0.21674864-313            0.60351261E-03            0.44428988E-04           -0.40776160E-04            0.13865317E-01            0.51595471E-03            0.15283203E-01           -0.28543084E-01            0.44360952E-01           -0.20463793E-01           -0.22251070E-01           -0.29027393E-01           -0.44360952E-01           -0.25696987E-01            0.20463793E-01            0.17545687E-01
       0.080            0.44649136E-01            0.36246691E-01            0.21674864-313            0.58070743E-03            0.44932730E-04           -0.42352684E-04            0.13477840E-01            0.49751804E-03            0.14857110E-01           -0.27751461E-01            0.44649136E-01           -0.19885022E-01           -0.21852655E-01           -0.28691665E-01           -0.44649136E-01           -0.25545081E-01            0.19885022E-01            0.17017835E-01
       0.100            0.44951326E-01            0.35954131E-01            0.21674864-313            0.56136340E-03            0.44868470E-04           -0.42969804E-04            0.13100987E-01            0.47941265E-03            0.14443328E-01           -0.26979492E-01            0.44951326E-01           -0.19323327E-01           -0.21461816E-01           -0.28246819E-01           -0.44951326E-01           -0.25381007E-01            0.19323327E-01            0.16493224E-01
       0.120            0.45297404E-01            0.35653705E-01            0.21674864-313            0.54247396E-03            0.44828950E-04           -0.43926825E-04            0.12698533E-01            0.46035807E-03            0.14001812E-01           -0.26153873E-01            0.45297404E-01           -0.18701311E-01           -0.21037087E-01           -0.27617754E-01           -0.45297404E-01           -0.25263546E-01            0.18701311E-01            0.15911279E-01
       0.140            0.45652748E-01            0.35344814E-01            0.21674864-313            0.52767965E-03            0.44989446E-04           -0.44742503E-04            0.12343157E-01            0.44319462E-03            0.13612417E-01           -0.25423412E-01            0.45652748E-01           -0.18152687E-01           -0.20650678E-01           -0.27214790E-01           -0.45652748E-01           -0.25098882E-01            0.18152687E-01            0.15394148E-01
       0.160            0.46035661E-01            0.35030992E-01            0.21674864-313            0.51184371E-03            0.44827943E-04           -0.45188626E-04            0.11966688E-01            0.42529620E-03            0.13199909E-01           -0.24649720E-01            0.46035661E-01           -0.17540845E-01           -0.20225851E-01           -0.26678552E-01           -0.46035661E-01           -0.24968692E-01            0.17540845E-01            0.14825831E-01
