        2      211     0.139570
        3      111     0.134980
        4     -211     0.139570
        5      321     0.493680
        6     -321     0.493680
        7      311     0.497650
        8     -311     0.497650
        9      221     0.547750
       10      213     0.775800
       11      113     0.775800
       12     -213     0.775800
       13      223     0.782590
       14      323     0.891660
       15     -323     0.891660
       16      313     0.896100
       17     -313     0.896100
       18     2212     0.938270
       19    -2212     0.938270
       20     2112     0.939570
       21    -2112     0.939570
       22      331     0.957780
       23  9010221     0.974100
       24  9000211     0.984700
       25  9000111     0.984700
       26 -9000211     0.984700
       27      333     1.019460
       28     3122     1.115680
       29    -3122     1.115680
       30    10223     1.170000
       31     3222     1.189370
       32    -3222     1.189370
       33     3212     1.192640
       34    -3212     1.192640
       35     3112     1.197450
       36    -3112     1.197450
       37    10213     1.229500
       38    10113     1.229500
       39   -10213     1.229500
       40    20213     1.230000
       41    20113     1.230000
       42   -20213     1.230000
       43     2224     1.232000
       44    -2224     1.232000
       45     2214     1.232000
       46    -2214     1.232000
       47     2114     1.232000
       48    -2114     1.232000
       49     1114     1.232000
       50    -1114     1.232000
       51    10323     1.273000
       52   -10323     1.273000
       53    10313     1.273000
       54   -10313     1.273000
       55      225     1.275400
       56    20223     1.281800
       57   100221     1.294000
       58   100211     1.300000
       59   100111     1.300000
       60  -100211     1.300000
       61     3322     1.314830
       62    -3322     1.314830
       63     3312     1.321310
       64    -3312     1.321310
       65      215     1.318300
       66      115     1.318300
       67     -215     1.318300
       68  9000213     1.376000
       69  9000113     1.376000
       70 -9000213     1.376000
       71     3224     1.382800
       72    -3224     1.382800
       73     3214     1.383700
       74    -3214     1.383700
       75     3114     1.387200
       76    -3114     1.387200
       77    10221     1.400000
       78    20323     1.402000
       79   -20323     1.402000
       80    20313     1.402000
       81   -20313     1.402000
       82    13122     1.406500
       83   -13122     1.406500
       84   100323     1.414000
       85  -100323     1.414000
       86   100313     1.414000
       87  -100313     1.414000
       88  9020221     1.410300
       89    10321     1.412000
       90   -10321     1.412000
       91    10311     1.412000
       92   -10311     1.412000
       93   100223     1.419000
       94    20333     1.426300
       95      325     1.425600
       96     -325     1.425600
       97      315     1.432400
       98     -315     1.432400
       99    12212     1.440000
      100   -12212     1.440000
      101    12112     1.440000
      102   -12112     1.440000
      103   100213     1.465000
      104   100113     1.465000
      105  -100213     1.465000
      106    10211     1.474000
      107    10111     1.474000
      108   -10211     1.474000
      109   100331     1.476000
      110  9030221     1.507000
      111     3124     1.519500
