0.01242606	0.06374554
0.06532751	0.14773175
0.15991254	0.23027766
0.29519981	0.31039354
0.46975786	0.38722138
0.68173695	0.45994525
0.92889027	0.52779384
1.20859802	0.59004780
1.51789527	0.64604716
1.85350341	0.69519830
2.21186492	0.73698018
2.58918110	0.77094990
2.98145230	0.79674736
3.38452035	0.81409912
3.79411263	0.82282122
4.20588737	0.82282122
4.61547965	0.81409912
5.01854770	0.79674736
5.41081890	0.77094990
5.78813508	0.73698018
6.14649659	0.69519830
6.48210473	0.64604716
6.79140198	0.59004780
7.07110973	0.52779384
7.31826305	0.45994525
7.53024214	0.38722138
7.70480019	0.31039354
7.84008746	0.23027766
7.93467249	0.14773175
7.98757394	0.06374554
