      2212	         2	         1
     -2212	         2	        -1
      2112	         2	         1
     -2112	         2	        -1
      3122	         2	         1
     -3122	         2	        -1
      3222	         2	         1
     -3222	         2	        -1
      3212	         2	         1
     -3212	         2	        -1
      3112	         2	         1
     -3112	         2	        -1
      2224	         4	         1
     -2224	         4	        -1
      2214	         4	         1
     -2214	         4	        -1
      2114	         4	         1
     -2114	         4	        -1
      1114	         4	         1
     -1114	         4	        -1
      3322	         2	         1
     -3322	         2	        -1
      3312	         2	         1
     -3312	         2	        -1
      3224	         4	         1
     -3224	         4	        -1
      3214	         4	         1
     -3214	         4	        -1
      3114	         4	         1
     -3114	         4	        -1
     13122	         2	         1
    -13122	         2	        -1
     12212	         2	         1
    -12212	         2	        -1
     12112	         2	         1
    -12112	         2	        -1
      3124	         4	         1
     -3124	         4	        -1
      2124	         4	         1
     -2124	         4	        -1
      1214	         4	         1
     -1214	         4	        -1
      3324	         4	         1
     -3324	         4	        -1
      3314	         4	         1
     -3314	         4	        -1
     22212	         2	         1
    -22212	         2	        -1
     22112	         2	         1
    -22112	         2	        -1
     32224	         4	         1
    -32224	         4	        -1
     32214	         4	         1
    -32214	         4	        -1
     32114	         4	         1
    -32114	         4	        -1
     31114	         4	         1
    -31114	         4	        -1
     23122	         2	         1
    -23122	         2	        -1
      2222	         2	         1
     -2222	         2	        -1
      2122	         2	         1
     -2122	         2	        -1
      1212	         2	         1
     -1212	         2	        -1
      1112	         2	         1
     -1112	         2	        -1
     32212	         2	         1
    -32212	         2	        -1
     32112	         2	         1
    -32112	         2	        -1
     13222	         2	         1
    -13222	         2	        -1
     13212	         2	         1
    -13212	         2	        -1
     13112	         2	         1
    -13112	         2	        -1
     33122	         2	         1
    -33122	         2	        -1
     13224	         4	         1
    -13224	         4	        -1
     13214	         4	         1
    -13214	         4	        -1
     13114	         4	         1
    -13114	         4	        -1
      3334	         4	         1
     -3334	         4	        -1
      2216	         6	         1
     -2216	         6	        -1
      2116	         6	         1
     -2116	         6	        -1
     12216	         6	         1
    -12216	         6	        -1
     12116	         6	         1
    -12116	         6	        -1
     13124	         4	         1
    -13124	         4	        -1
     13322	         2	         1
    -13322	         2	        -1
     13312	         2	         1
    -13312	         2	        -1
     22124	         4	         1
    -22124	         4	        -1
     21214	         4	         1
    -21214	         4	        -1
     12224	         4	         1
    -12224	         4	        -1
     12214	         4	         1
    -12214	         4	        -1
     12114	         4	         1
    -12114	         4	        -1
     11114	         4	         1
    -11114	         4	        -1
     42212	         2	         1
    -42212	         2	        -1
     42112	         2	         1
    -42112	         2	        -1
     32124	         4	         1
    -32124	         4	        -1
     31214	         4	         1
    -31214	         4	        -1
     23222	         2	         1
    -23222	         2	        -1
     23212	         2	         1
    -23212	         2	        -1
     23112	         2	         1
    -23112	         2	        -1
      3226	         6	         1
     -3226	         6	        -1
      3216	         6	         1
     -3216	         6	        -1
      3116	         6	         1
     -3116	         6	        -1
     43122	         2	         1
    -43122	         2	        -1
     53122	         2	         1
    -53122	         2	        -1
      3126	         6	         1
     -3126	         6	        -1
     13324	         4	         1
    -13324	         4	        -1
     13314	         4	         1
    -13314	         4	        -1
     13126	         6	         1
    -13126	         6	        -1
     23124	         4	         1
    -23124	         4	        -1
      2226	         6	         1
     -2226	         6	        -1
      2126	         6	         1
     -2126	         6	        -1
      1216	         6	         1
     -1216	         6	        -1
      1116	         6	         1
     -1116	         6	        -1
     22222	         2	         1
    -22222	         2	        -1
     22122	         2	         1
    -22122	         2	        -1
     21212	         2	         1
    -21212	         2	        -1
     21112	         2	         1
    -21112	         2	        -1
     13226	         6	         1
    -13226	         6	        -1
     13216	         6	         1
    -13216	         6	        -1
     13116	         6	         1
    -13116	         6	        -1
     22224	         4	         1
    -22224	         4	        -1
     22214	         4	         1
    -22214	         4	        -1
     22114	         4	         1
    -22114	         4	        -1
     21114	         4	         1
    -21114	         4	        -1
      2228	         8	         1
     -2228	         8	        -1
      2218	         8	         1
     -2218	         8	        -1
      2118	         8	         1
     -2118	         8	        -1
      1118	         8	         1
     -1118	         8	        -1
     23224	         4	         1
    -23224	         4	        -1
     23214	         4	         1
    -23214	         4	        -1
     23114	         4	         1
    -23114	         4	        -1
     23324	         4	         1
    -23324	         4	        -1
     23314	         4	         1
    -23314	         4	        -1
     12226	         6	         1
    -12226	         6	        -1
     12126	         6	         1
    -12126	         6	        -1
     11216	         6	         1
    -11216	         6	        -1
     11116	         6	         1
    -11116	         6	        -1
     13334	         4	         1
    -13334	         4	        -1
